Abbreviation,TeamName,GridPosition,Position,Status,RaceName,RoundNumber,Year
NOR,McLaren,1.0,1.0,Finished,Pre-Season Testing,0,2024
VER,Red Bull Racing,2.0,2.0,Finished,Pre-Season Testing,0,2024
PIA,McLaren,5.0,3.0,Finished,Pre-Season Testing,0,2024
RUS,Mercedes,4.0,4.0,Finished,Pre-Season Testing,0,2024
LEC,Ferrari,9.0,5.0,Finished,Pre-Season Testing,0,2024
HAM,Mercedes,3.0,6.0,Finished,Pre-Season Testing,0,2024
SAI,Ferrari,10.0,7.0,Finished,Pre-Season Testing,0,2024
ALO,Aston Martin,7.0,8.0,Lapped,Pre-Season Testing,0,2024
HUL,Haas F1 Team,6.0,9.0,Lapped,Pre-Season Testing,0,2024
PER,Red Bull Racing,13.0,10.0,Lapped,Pre-Season Testing,0,2024
COL,Williams,12.0,11.0,Lapped,Pre-Season Testing,0,2024
TSU,RB,8.0,12.0,Lapped,Pre-Season Testing,0,2024
OCO,Alpine,15.0,13.0,Lapped,Pre-Season Testing,0,2024
STR,Aston Martin,17.0,14.0,Lapped,Pre-Season Testing,0,2024
ZHO,Kick Sauber,20.0,15.0,Lapped,Pre-Season Testing,0,2024
BOT,Kick Sauber,19.0,16.0,Lapped,Pre-Season Testing,0,2024
GAS,Alpine,18.0,17.0,Lapped,Pre-Season Testing,0,2024
RIC,RB,16.0,18.0,Lapped,Pre-Season Testing,0,2024
MAG,Haas F1 Team,14.0,19.0,Retired,Pre-Season Testing,0,2024
ALB,Williams,11.0,20.0,Retired,Pre-Season Testing,0,2024
VER,Red Bull Racing,1.0,1.0,Finished,Bahrain Grand Prix,1,2024
PER,Red Bull Racing,5.0,2.0,Finished,Bahrain Grand Prix,1,2024
SAI,Ferrari,4.0,3.0,Finished,Bahrain Grand Prix,1,2024
LEC,Ferrari,2.0,4.0,Finished,Bahrain Grand Prix,1,2024
RUS,Mercedes,3.0,5.0,Finished,Bahrain Grand Prix,1,2024
NOR,McLaren,7.0,6.0,Finished,Bahrain Grand Prix,1,2024
HAM,Mercedes,9.0,7.0,Finished,Bahrain Grand Prix,1,2024
